method_id,update,training_seeds,deadline_completion_rate,deadline_completion_rate_ci95_lower,deadline_completion_rate_ci95_upper,mission_success,mission_success_ci95_lower,mission_success_ci95_upper,makespan,makespan_ci95_lower,makespan_ci95_upper,throughput,throughput_ci95_lower,throughput_ci95_upper,communication_events,communication_events_ci95_lower,communication_events_ci95_upper,deadline_remaining_tasks,deadline_remaining_tasks_ci95_lower,deadline_remaining_tasks_ci95_upper,completion_rate,completion_rate_ci95_lower,completion_rate_ci95_upper,actor_loss,actor_loss_ci95_lower,actor_loss_ci95_upper
gppo_always,1.0,5,0.7006587938205585,0.6338567738058813,0.7674608138352357,0.02222222222222222,-0.015554352922033901,0.05999879736647834,23.502353842483394,22.779984942289293,24.224722742677496,0.9130163817663819,0.8262344590796306,0.9997983044531332,48.522222222222226,46.10402958052767,50.94041486391678,6.1,4.78829489462883,7.411705105371169,0.9184587942921276,0.856173041538716,0.9807445470455393,0.004637906025163829,-0.00259830744407016,0.011874119494397819
gppo_always,2.0,5,0.67168532205353,0.6404867925461376,0.7028838515609225,0.01111111111111111,-0.019733333333333325,0.041955555555555545,24.74378020248822,22.870282007069015,26.617278397907427,0.8760565052231719,0.8338985802492751,0.9182144301970687,48.488888888888894,44.122084556085824,52.855693221691965,6.622222222222222,5.937017210457022,7.307427233987422,0.8989324755243228,0.8429565563983389,0.9549083946503066,-0.00197673326038057,-0.014975771132361461,0.011022304611600323
gppo_always,3.0,5,0.6868718548256508,0.6241589477158312,0.7495847619354704,0.01111111111111111,-0.019733333333333325,0.041955555555555545,23.05251119777528,21.30903417577098,24.795988219779584,0.8959461063627729,0.8174384694652224,0.9744537432603235,47.12222222222222,45.194506134320385,49.049938310124055,6.344444444444445,5.073256609930095,7.615632278958795,0.9052346445824707,0.8449048592855982,0.9655644298793432,0.0013876861747121438,-0.003483660092453267,0.006259032441877555
gppo_always,4.0,5,0.70068742319062,0.6634554265803227,0.7379194198009174,0.02222222222222222,-0.03946666666666665,0.08391111111111109,22.751788426549986,22.01847485270691,23.485102000393063,0.9138710826210825,0.8728168841222768,0.9549252811198883,46.66666666666667,44.62009652055319,48.71323681278015,5.988888888888889,5.182496886674973,6.795280891102805,0.9075047746371275,0.8649807268636557,0.9500288224105994,-0.0020770602859556675,-0.024220494021873304,0.02006637344996197
gppo_always,5.0,5,0.727907400846446,0.703389457509141,0.7524253441837511,0.02222222222222222,-0.015554352922033901,0.05999879736647834,23.344184366970083,21.981880972612903,24.706487761327264,0.9494836182336183,0.9210568314545684,0.9779104050126681,48.65555555555556,45.29952975009554,52.01158136101558,5.566666666666666,5.011895227131918,6.121438106201415,0.9299309653593542,0.8916240434334294,0.9682378872852789,-0.004156136041274294,-0.010950341834493508,0.0026380697519449202
gppo_always,6.0,5,0.7059813694217718,0.6316711881264434,0.7802915507171002,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.992268752513223,22.388570431513447,23.595967073513,0.9192960588793924,0.8378004203050388,1.0007916974537459,47.611111111111114,44.982085834288384,50.240136387933845,6.011111111111111,4.506831634844799,7.515390587377423,0.9214127993036663,0.842753740430684,1.0000718581766486,-0.006281348771881312,-0.013121937795591173,0.0005592402518285484
gppo_always,7.0,5,0.7166424577982886,0.6515558940064828,0.7817290215900944,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.52435194795945,20.78123728954495,24.267466606373947,0.9394586894586894,0.8425660452308446,1.0363513336865342,47.9,42.295470231330626,53.50452976866937,5.7,4.379980296443353,7.020019703556647,0.9316801535428987,0.8413195630917432,1.0220407439940542,-1.1257514415774495e-06,-0.0025052242529780334,0.002502972750094878
gppo_always,8.0,5,0.7077688297541239,0.6960759838102629,0.7194616756979849,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.993756059975418,21.956841497262143,24.030670622688692,0.9206433998100666,0.8971593148851185,0.9441274847350147,46.64444444444444,45.207113190408975,48.0817756984799,5.922222222222222,5.565171963976159,6.2792724804682845,0.9001894293070762,0.8634652418209108,0.9369136167932417,-0.007153072440996766,-0.024768263373343816,0.010462118491350283
gppo_always,9.0,5,0.7325810165963619,0.7138092816532503,0.7513527515394735,0.0,0.0,0.0,24.546802238865233,22.93809790916862,26.155506568561847,0.9541073124406457,0.9209598311903664,0.9872547936909251,51.766666666666666,49.537421920065945,53.995911413267386,5.466666666666667,5.0539961251902135,5.87933720814312,0.9772347777494836,0.9690969288412695,0.9853726266576978,0.00033441245323047043,-0.004772238609587317,0.005441063516048258
gppo_always,10.0,5,0.7173885564326741,0.677839738064735,0.7569373748006132,0.01111111111111111,-0.019733333333333325,0.041955555555555545,23.0823132095103,21.207463102936742,24.957163316083857,0.9335707502374169,0.8874630729245928,0.9796784275502409,47.08888888888889,43.9231608021745,50.25461697560328,5.666666666666666,4.7901741392499835,6.543159194083349,0.9215309962368785,0.8678190768829435,0.9752429155908136,-0.0025149617809802293,-0.017282467840290944,0.012252544278330484
gppo_always,11.0,5,0.7394241669731866,0.7072833156207854,0.7715650183255878,0.01111111111111111,-0.019733333333333325,0.041955555555555545,22.761796379152162,20.98498383891545,24.538608919388874,0.968684710351377,0.9323678412653,1.005001579437454,48.9,46.31642101966007,51.48357898033993,5.222222222222222,4.55888736274138,5.885557081703064,0.9521772032630942,0.9165724020147346,0.9877820045114538,-0.00407191847480135,-0.012299109727876983,0.004155272778274283
gppo_always,12.0,5,0.7360094606419256,0.6976540877704124,0.7743648335134389,0.03333333333333333,-0.02835555555555555,0.09502222222222222,23.034098488340554,21.885495608611077,24.18270136807003,0.9668684710351376,0.9257517202271933,1.0079852218430818,49.3,45.915322866684306,52.68467713331569,5.277777777777778,4.6002523311234125,5.955303224432143,0.9382425717939133,0.8699902646452161,1.0064948789426107,-0.0021860865643247964,-0.011654463115727546,0.007282289987077954
gppo_always,13.0,5,0.7281906483131974,0.6963604928221067,0.760020803804288,0.02222222222222222,-0.03946666666666665,0.08391111111111109,22.330458207199406,21.351004298464957,23.309912115933855,0.953116096866097,0.9155703397785754,0.9906618539536186,47.8,44.80491073724808,50.795089262751915,5.411111111111111,4.675356342518904,6.146865879703319,0.9350296622089035,0.8799458601883653,0.9901134642294417,0.0015918650231469655,-0.010400579225805768,0.013584309272099698
gppo_always,14.0,5,0.7219612220528674,0.6595520812125447,0.7843703628931901,0.0,0.0,0.0,23.201980491620002,21.81730343697641,24.586657546263595,0.9475546058879392,0.8704896672176706,1.0246195445582076,48.477777777777774,46.319988976341236,50.63556657921431,5.5777777777777775,4.305467811662388,6.850087743893167,0.9365939507115979,0.8661209108754332,1.0070669905477625,-0.0031690079733380115,-0.004652968692712018,-0.0016850472539640044
gppo_always,15.0,5,0.732872483204964,0.6594755479765616,0.8062694184333664,0.0,0.0,0.0,22.651687916754415,21.229134740447975,24.074241093060856,0.9576745014245015,0.8616124856635793,1.0537365171854236,47.81111111111111,45.31166414255147,50.31055807967075,5.433333333333333,3.833282423032178,7.0333842436344876,0.9454680559092322,0.8942874769994924,0.996648634818972,0.003914653556421399,-0.020806350516312785,0.028635657629155584
gppo_always,16.0,5,0.7218992219929985,0.6614119520264734,0.7823864919595236,0.0,0.0,0.0,23.184541192991894,22.196120957182433,24.172961428801354,0.947946343779677,0.8667761297950002,1.0291165577643537,49.55555555555556,47.00505382810498,52.10605728300614,5.544444444444444,4.35743416044477,6.731454728444119,0.9505390911305233,0.9033415983471584,0.9977365839138881,0.00011774513150157873,-0.010910453771423596,0.011145944034426754
gppo_always,17.0,5,0.7309772208546719,0.6703625350456598,0.791591906663684,0.03333333333333333,-0.004443241810922788,0.07110990847758945,22.97405116424284,21.701352856027725,24.246749472457957,0.9525522317188985,0.8816557840893877,1.0234486793484092,48.1888888888889,43.45987121436854,52.917906563409254,5.5,4.179619979880465,6.820380020119535,0.936580679116911,0.8393770973343541,1.033784260899468,0.0013610785582689761,-0.0014301810969314442,0.004152338213469397
gppo_always,18.0,5,0.7368090948866737,0.6893584639064491,0.7842597258668983,0.01111111111111111,-0.019733333333333325,0.041955555555555545,22.835926486312015,21.581957424677345,24.089895547946686,0.9568791547958215,0.8961042382477012,1.0176540713439417,48.7,47.164268770942904,50.2357312290571,5.3,4.377756269059388,6.222243730940612,0.9521497302624754,0.8971599597156701,1.0071395008092807,0.0029532756001572126,-0.0031830384557835103,0.009089589656097935
gppo_always,19.0,5,0.6934248346535219,0.6605759320525816,0.7262737372544622,0.0,0.0,0.0,23.556469435627662,22.355784177633915,24.75715469362141,0.9065764482431149,0.860159038834778,0.9529938576514518,48.74444444444445,46.399150850356676,51.08973803853222,6.199999999999999,5.441954242235867,6.958045757764132,0.9133599913395309,0.8568628876492668,0.9698570950297951,-0.0023257216438651086,-0.009827958252047459,0.0051765149643172425
gppo_always,20.0,5,0.7047366168689697,0.6687434939598411,0.7407297397780983,0.01111111111111111,-0.019733333333333325,0.041955555555555545,23.175595260444645,22.07333117514802,24.27785934574127,0.9167616334283002,0.8734617050833674,0.960061561773233,47.977777777777774,45.175512893443084,50.780042662112464,5.988888888888889,5.344837980694763,6.632939797083015,0.9242628667628667,0.8804503506422448,0.9680753828834887,-0.0008083750828518533,-0.005007578577746364,0.003390828412042658
gppo_always,21.0,5,0.7345657414588855,0.7026157242503502,0.7665157586674208,0.0,0.0,0.0,23.080389148143045,22.095868598837008,24.06490969744908,0.9655864197530866,0.9258590240882356,1.0053138154179375,48.9,47.12919575724112,50.67080424275888,5.388888888888888,4.707861995418719,6.0699157823590575,0.95015713302865,0.9024810965962767,0.9978331694610233,0.004984301450895146,-0.005221186971532886,0.015189789873323178
gppo_always,22.0,5,0.7621091281630499,0.7087958269801825,0.8154224293459172,0.02222222222222222,-0.03946666666666665,0.08391111111111109,22.133699180417818,21.260503882848667,23.006894477986968,0.9897732668566002,0.9229207287041372,1.0566258050090631,47.94444444444444,45.67784993578908,50.21103895309981,4.866666666666666,3.6400424049197477,6.093290928413585,0.9582275132275132,0.9074707966217038,1.0089842298333227,0.004922053726477316,-0.003831829877342115,0.013675937330296747
gppo_always,23.0,5,0.7542060990696967,0.7061747819330508,0.8022374162063426,0.01111111111111111,-0.019733333333333325,0.041955555555555545,22.226463562098893,21.639200690573517,22.813726433624268,0.9864316239316239,0.9128200073015647,1.060043240561683,48.044444444444444,46.180077010728326,49.90881187816056,5.0,3.9945941179531914,6.005405882046809,0.9540367777333835,0.907818403200608,1.000255152266159,0.00392761142575182,-0.007959089632427812,0.015814312483931454
gppo_always,24.0,5,0.7034864164521026,0.6771963481383048,0.7297764847659005,0.02222222222222222,-0.015554352922033901,0.05999879736647834,24.011292751475025,22.867134776236174,25.155450726713877,0.9150759734093068,0.8753272966545879,0.9548246501640257,50.011111111111106,48.10261500561564,51.91960721660657,5.977777777777778,5.3241957177915795,6.631359837763976,0.9343333073970328,0.9104955900216094,0.9581710247724562,-0.0015879795711953193,-0.006171586142487678,0.0029956270000970394
gppo_always,25.0,5,0.7284857624062655,0.6734728155802319,0.7834987092322991,0.02222222222222222,-0.015554352922033901,0.05999879736647834,23.39876435938742,21.937839708859443,24.8596890099154,0.9568554131054132,0.8885912150188344,1.025119611191992,49.955555555555556,49.36748537245926,50.543625738651855,5.544444444444443,4.439412357540891,6.649476531347996,0.9512264994564653,0.9119090897461988,0.9905439091667319,0.001889226766070351,-0.003298290056638075,0.007076743588778777
gppo_always,26.0,5,0.7252516369598638,0.6742061413354705,0.7762971325842571,0.01111111111111111,-0.019733333333333325,0.041955555555555545,23.199847904983745,21.605492970091134,24.794202839876355,0.9464981006647673,0.8780814774983641,1.0149147238311704,49.1,47.01349245145783,51.186507548542174,5.5666666666666655,4.422508224733507,6.710825108599824,0.9461301507134842,0.9140861171404251,0.9781741842865432,0.00042698766192188485,-0.01777681007416546,0.01863078539800923
gppo_always,27.0,5,0.7589148959246997,0.7250604149579422,0.7927693768914573,0.01111111111111111,-0.019733333333333325,0.041955555555555545,22.33842115159507,21.19755749569255,23.479284807497592,0.984449192782526,0.9426496822049548,1.026248703360097,48.56666666666667,45.55502610443993,51.57830722889341,4.855555555555556,4.1857977235145665,5.525313387596546,0.9641774891774892,0.916475264582708,1.0118797137722706,-0.0026605047634802757,-0.006982645999723696,0.0016616364727631448
gppo_always,28.0,5,0.7462554450853685,0.6813834671714954,0.8111274229992415,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.696544140389687,20.850154941975294,24.54293333880408,0.9790360873694208,0.8961740385956027,1.061898136143239,48.16666666666667,46.51497618659018,49.81835714674316,5.0,3.750895202530337,6.249104797469663,0.9388278089013383,0.8926117220536691,0.9850438957490075,0.0007577308686450123,-0.004028627653041762,0.005544089390331787
gppo_always,29.0,5,0.7002398405563368,0.6510586757052195,0.7494210054074542,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.03094493263687,20.925198802474192,23.13669106279955,0.9173254985754985,0.8589473297269548,0.9757036674240422,45.988888888888894,43.02140325378164,48.956374523996146,6.022222222222222,5.096118098806606,6.948326345637838,0.894882440899065,0.8377092655027942,0.9520556162953357,-0.004868500208249316,-0.015527390888113501,0.005790390471614869
gppo_always,30.0,5,0.7465484976553088,0.6984828593546087,0.7946141359560089,0.0,0.0,0.0,22.901318769055383,21.636489380141168,24.166148157969598,0.9736585944919278,0.9089303633088017,1.038386825675054,49.17777777777778,46.40074981995695,51.954805735598605,5.0888888888888895,4.134952447700504,6.0428253300772745,0.9584283898744683,0.9164282371427422,1.0004285426061945,0.0002342692285310477,-0.004325703709853106,0.004794242166915202
gppo_always,31.0,5,0.7319005864679352,0.6615694134041185,0.802231759531752,0.02222222222222222,-0.015554352922033901,0.05999879736647834,22.176018045931205,20.705379013442005,23.646657078420404,0.9544218898385564,0.8573713531473577,1.051472426529755,46.833333333333336,43.24522150276813,50.42144516389854,5.377777777777778,3.9086947406840467,6.84686081487151,0.9172374321871226,0.8424490070467952,0.9920258573274501,-0.003849029401317239,-0.023542439169761543,0.015844380367127063
gppo_always,32.0,5,0.7841108409516562,0.7463343241051399,0.8218873577981725,0.02222222222222222,-0.03946666666666665,0.08391111111111109,22.12564153327001,20.555254217228224,23.696028849311794,1.0197352801519468,0.968887203382629,1.0705833569212646,48.78888888888889,46.459469557439874,51.11830822033791,4.322222222222222,3.575557280425272,5.068887164019172,0.9746342368165628,0.9539611844892962,0.9953072891438294,-0.0025345440546516327,-0.008857529478768496,0.00378844136946523
